nome,cognome,indirizzo,citta,email,password,eta,sesso,peso,altezza,intolleranze,condizioni_pregresse,condizioni_familiari,farmaci
Mario,Rossi,Via Roma 123,Milano,mario.rossi@email.com,$2y$10$hashedpassword123,35,M,75.50,180.00,"Lattosio, Glutine","Diabete tipo 2, Ipertensione","Cardiopatia, Diabete",
Anna,Verdi,Via Garibaldi 45,Roma,anna.verdi@email.com,$2y$10$hashedpassword456,28,F,60.00,165.00,,,Ipertensione,
Luca,Bianchi,Corso Italia 67,Napoli,luca.bianchi@email.com,$2y$10$hashedpassword789,42,M,82.30,175.00,Frutta secca,Asma,"Diabete, Cardiopatia",
Giulia,Ferrari,Via Venezia 89,Torino,giulia.ferrari@email.com,$2y$10$hashedpassword321,31,F,58.70,168.00,"Lattosio, Uova",Allergie stagionali,Ipertensione,
Francesco,Romano,Via Firenze 12,Firenze,francesco.romano@email.com,$2y$10$hashedpassword654,29,M,78.20,182.00,,,"Cancro, Cardiopatia",
Chiara,Conti,Via Palermo 34,Palermo,chiara.conti@email.com,$2y$10$hashedpassword987,45,F,65.40,162.00,Glutine,"Celiachia, Tiroidite",Celiachia,
Alessandro,Greco,Via Bologna 56,Bologna,alessandro.greco@email.com,$2y$10$hashedpassword111,38,M,85.10,178.00,"Crostacei, Molluschi",Allergie alimentari,Allergie,
Martina,Bruno,Via Genova 78,Genova,martina.bruno@email.com,$2y$10$hashedpassword222,26,F,55.80,160.00,,,Diabete,
Roberto,Ricci,Via Bari 90,Bari,roberto.ricci@email.com,$2y$10$hashedpassword333,52,M,88.50,176.00,Lattosio,"Diabete tipo 2, Ipertensione, Colesterolo alto","Diabete, Ipertensione, Cardiopatia",
Elena,Marino,Via Catania 23,Catania,elena.marino@email.com,$2y$10$hashedpassword444,33,F,62.30,167.00,"Soia, Sesamo",Dermatite atopica,Allergie,
Davide,Colombo,Via Venezia 45,Venezia,davide.colombo@email.com,$2y$10$hashedpassword555,41,M,79.60,179.00,,Gastrite cronica,Cancro gastrico,
Federica,Esposito,Via Perugia 67,Perugia,federica.esposito@email.com,$2y$10$hashedpassword666,27,F,57.20,163.00,Frutta secca,Asma bronchiale,"Asma, Allergie",
Giovanni,De Luca,Via Ancona 89,Ancona,giovanni.deluca@email.com,$2y$10$hashedpassword777,46,M,83.40,181.00,"Lattosio, Glutine","Sindrome del colon irritabile, Reflusso gastroesofageo",Diabete,
Silvia,Santoro,Via Trento 12,Trento,silvia.santoro@email.com,$2y$10$hashedpassword888,34,F,61.80,166.00,Uova,Ipotiroidismo,"Tiroidite, Ipertensione",
Marco,Galli,Via Trieste 34,Trieste,marco.galli@email.com,$2y$10$hashedpassword999,39,M,81.70,177.00,,Ipertensione arteriosa,"Ipertensione, Cardiopatia",
Valentina,Rizzo,Via Cagliari 56,Cagliari,valentina.rizzo@email.com,$2y$10$hashedpassword000,30,F,59.90,164.00,"Crostacei, Pesce",Allergie alimentari,Allergie,
Matteo,Barbieri,Via Aosta 78,Aosta,matteo.barbieri@email.com,$2y$10$hashedpassword123a,36,M,77.30,175.00,Frutta secca,"Diabete tipo 1, Nefropatia",Diabete,
Francesca,Costa,Via Potenza 90,Potenza,francesca.costa@email.com,$2y$10$hashedpassword456b,43,F,64.50,161.00,Lattosio,Osteoporosi,"Osteoporosi, Artrite",
Simone,Mancini,Via L'Aquila 23,L'Aquila,simone.mancini@email.com,$2y$10$hashedpassword789c,25,M,72.40,174.00,,,Ipertensione,
Paola,Ferri,Via Campobasso 45,Campobasso,paola.ferri@email.com,$2y$10$hashedpassword321d,48,F,66.70,159.00,"Glutine, Soia","Celiachia, Fibromialgia","Celiachia, Artrite reumatoide"
