nome,cognome,codice_fiscale,numero_albo,citta_ordine,data_iscrizione_albo,citta,email,password,telefono,url_sito,indirizzo,specializzazioni,coordinate
Giovanni,Bianchi,BNCGNN70A01F205Z,12345,Milano,2005-06-15,Milano,g.bianchi@clinica.it,$2b$10$hash1,+393401234567,https://www.clinicabianchi.it,"Via Montenapoleone 8, Milano",Gastroenterologia,"45.4685000,9.1970000"
Maria,Rossi,RSSMRA75B41H501Y,23456,Milano,2008-03-22,Milano,m.rossi@ospedale.it,$2b$10$hash2,+393471234568,https://www.dottrossi.it,"Corso Buenos Aires 12, Milano",Cardiologia,"45.4823000,9.2017000"
Antonio,Verdi,VRDNTN68C15H501K,34567,Roma,2010-09-10,Roma,a.verdi@medicenter.it,$2b$10$hash3,+393391234569,https://www.studioverdi.com,"Via del Corso 45, Roma",Dermatologia,"41.9028000,12.4964000"
Laura,Ferrari,FRRLRA80D55L219P,45678,Torino,2012-01-18,Torino,l.ferrari@clinicaferrari.it,$2b$10$hash4,+393451234570,https://www.ferrariclinic.it,"Via Po 18, Torino",Endocrinologia,"45.0703000,7.6869000"
Roberto,Colombo,CLMRRT72E20A944M,56789,Bologna,2007-11-30,Bologna,r.colombo@neuromed.it,$2b$10$hash5,+393421234571,https://www.neurocolmbo.it,"Via San Felice 32, Bologna",Neurologia,"44.4949000,11.3426000"
Francesca,Ricci,RCCFNC85F45D612N,67890,Firenze,2015-04-12,Firenze,f.ricci@ginecologia.it,$2b$10$hash6,+393461234572,https://www.ginecologaricci.it,"Lungarno Torrigiani 15, Firenze",Ginecologia,"43.7696000,11.2558000"
Marco,Greco,GRCMRC78G25F839L,78901,Napoli,2009-07-25,Napoli,m.greco@ortopedia.it,$2b$10$hash7,+393381234573,https://www.ortogreco.it,"Via Chiaia 287, Napoli",Ortopedia,"40.8359000,14.2488000"
Elena,Bruno,BRNLNE82H60D969Q,89012,Genova,2013-12-08,Genova,e.bruno@pediatria.it,$2b$10$hash8,+393411234574,https://www.pediatrabruno.it,"Via Garibaldi 18, Genova",Pediatria,"44.4056000,8.9463000"
Stefano,Conti,CNTSTF77I30A662W,90123,Bari,2011-05-17,Bari,s.conti@oculistica.it,$2b$10$hash9,+393431234575,https://www.oculistaconti.it,"Corso Cavour 45, Bari",Oculistica,"41.1177000,16.8719000"
Alessandra,Romano,RMNLSN83L50C351R,01234,Catania,2014-02-28,Catania,a.romano@psichiatria.it,$2b$10$hash10,+393471234576,https://www.psichiatraromano.it,"Via Etnea 123, Catania",Psichiatria,"37.5079000,15.0830000"
